rp_c,LP_stage,HP_stage,pressure,temp,enthalpy,fi,cpa,tci_hp,t_clp_ex
171.0,0,3,17.060728271891534,368.1610942967633,80.74128955196616,0.24815355146755544,1.0105113716970253,339.28826069077,629.9217379384667
171.0,0,4,19.553405508930858,383.5062284117089,96.25997551723061,0.28966167900651535,1.0121349257394974,339.28826069077,629.9217379384667
171.0,0,5,22.410278207560822,399.4909552067432,112.45335074879773,0.3312684836726398,1.0139995832431565,339.28826069077,629.9217379384667
171.0,0,6,25.684557562665507,416.1419332169666,129.35490734678777,0.37298787338548967,1.0161288818631642,339.28826069077,629.9217379384667
171.0,0,7,29.43722925167918,433.4869321182349,147.0003578980584,0.4148352244840834,1.0185483225723149,339.28826069077,629.9217379384667
171.0,0,8,33.73818933426031,451.55487904004826,165.4278419236433,0.456827525753754,1.0212855135023564,339.28826069077,629.9217379384667
171.0,0,9,38.66754611388796,470.3759068087842,184.67815558442294,0.49898353644159255,1.024370322245267,339.28826069077,629.9217379384667
171.0,0,10,44.317112209437205,489.98140420173183,204.79500737696716,0.5413239596452494,1.0278350368103197,339.28826069077,629.9217379384667
171.0,0,11,50.792114627580396,510.40406829573914,225.8253028592888,0.5838716326017312,1.031714535379817,339.28826069077,629.9217379384667
171.0,0,12,58.21315468727443,531.677958997777,247.8194617849815,0.6266517355598474,1.0360464649398087,339.28826069077,629.9217379384667
171.0,0,13,66.7184543012592,553.8385558483637,270.8317713961956,0.6696920210938035,1.0408714287795315,339.28826069077,629.9217379384667
171.0,0,14,76.46643045308608,576.9228171925848,294.92078003341436,0.7130230659080231,1.0462331827520688,339.28826069077,629.9217379384667
171.0,0,15,87.63864582106025,600.9692418173888,315.62146303463027,0.7379039385493025,1.0510570290206227,339.28826069077,629.9217379384667
171.0,0,16,100.44319050647233,626.0179331579558,342.0296627608468,0.7809546281073029,1.0574772065018916,339.28826069077,629.9217379384667
171.0,0,17,115.11855785310489,652.1106661802195,369.7083253663248,0.8242709634456508,1.0640671667925337,339.28826069077,629.9217379384667
171.0,0,18,131.93808654778553,679.2909570510844,398.7220494766895,0.8678598103356185,1.0708234037397242,339.28826069077,629.9217379384667
171.0,0,19,151.21505173912703,707.6041357125329,429.138684104868,0.9117278646165652,1.0777410700651497,339.28826069077,629.9217379384667
171.0,0,20,173.30849999999984,737.0974214806549,461.02944308211636,0.9558815935099558,1.084813781405601,339.28826069077,629.9217379384667
172.0,1,0,1.1692887343574676,300.950694565937,13.015783777879768,0.04431638874850246,1.0053485282984629,339.3686473811585,630.4576492077233
172.0,2,0,1.3490243160288982,314.3309521750535,26.472634288051733,0.08818866890727813,1.0061210265406746,339.3686473811585,630.4576492077233
172.0,3,0,1.5563877011414686,328.3060955808103,40.53975157520449,0.13211540308802142,1.0070641303721883,339.3686473811585,630.4576492077233
172.0,4,0,1.7956256588428576,342.9025733854229,55.247429278899055,0.17610682072506356,1.0081969579939618,339.3686473811585,630.4576492077233
172.0,5,0,2.071637744457976,358.1480100950587,70.62787027070894,0.22017435542441408,1.0095404070799212,339.3686473811585,630.4576492077233
172.0,6,0,2.390076641602788,374.07125840048633,86.71535835676113,0.26433077213852274,1.0111173018127024,339.3686473811585,630.4576492077233
172.0,7,0,2.7574639282457523,390.7024537821214,103.54644998049169,0.3085903074583662,1.012952550321069,339.3686473811585,630.4576492077233
172.0,8,0,3.181323637587416,408.0730715428102,121.1601884673263,0.35296882439173166,1.0150733130108247,339.3686473811585,630.4576492077233
172.0,9,0,3.670336349063724,426.21598637628944,139.59834367175196,0.39748398314380395,1.0175091822606996,339.3686473811585,630.4576492077233
172.0,10,0,4.234516965232293,445.16553458405724,158.90568024317446,0.4421554295798768,1.0202923739233585,339.3686473811585,630.4576492077233
172.0,11,0,4.885419815384008,464.9575790584045,179.1302581237451,0.48700500323213,1.023457931027074,339.3686473811585,630.4576492077233
172.0,12,0,5.636375286369274,485.62957715458947,200.3237693328963,0.5320569669151136,1.027043940013051,339.3686473811585,630.4576492077233
172.0,13,0,6.502762826800629,507.22065158060667,222.54191558374163,0.5773382602402648,1.0310917597638147,339.3686473811585,630.4576492077233
172.0,14,0,7.5023259157143505,529.7716644387128,245.8448318200138,0.6228787795711918,1.0356462635757973,339.3686473811585,630.4576492077233
172.0,15,0,8.655535446199172,553.3252945588365,270.29756136315933,0.6687116872416508,1.0407560941001262,339.3686473811585,630.4576492077233
172.0,16,0,9.986008966031008,577.9261182702281,295.9705890219074,0.7148737531705326,1.0464739311146685,339.3686473811585,630.4576492077233
172.0,17,0,11.520994361295234,603.6206937642154,318.40919691368606,0.7425324642137673,1.0517409126934063,339.3686473811585,630.4576492077233
